name,slug,species,description,genetic_cultivation_description,references,hero_image_attribution,lab_data_attribution,thc_min,thc_max,cbd_min,cbd_max,featured_position,featured,avatar_image_url,hero_image_url,aliases,effects,flavors
Georgia Pine,georgia-pine,hybrid,"Georgia Pine is a Swamp Boys Seeds creation, first bred when they crossed Killer Queen G13 with William's Wonder. Named for Swamp Boy Seeds' southern heritage, the flower blends flavors of black licorice, watermelon, and gasoline in tight, mint-green nugs that sparkle with trichomes.","Little to no cultivation information is available online given the very limited amount of distributors Swamp Boys Seeds, much less the Georgia Pine strain.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
GG4,gg4,hybrid,"Gorilla Glue or GG4, which is now called “Original Glue” due to the adhesive company’s license of the name, is an aromatic indica-dominant hybrid that originated in Nevada. GG Strains breeder Joesy Whales decided to call this strain “Gorilla Glue"" because of how sticky the bud’s resin was - while trimming the plant, everything stuck to his fingers and scissors like the powerful adhesive. 

GG4 was created by crossing Chem’s Sister with Chocolate Diesel and Sour Dubb. The results are a potent flower with a piney, chocolaty, diesel aroma. It has been reported to make produce relaxation, euphoria, and sleepiness, making this a highly popular strain among veteran cannabis consumers.

This sticky strain has won several awards, including Best Hybrid Flower at the 2015 World Cannabis Cup and 2nd place for Best Hybrid Flower at the 2016 Colorado Cannabis Cup. ","The GG4 plant typically flowers between 59 and 63 days and produces a decently high yield both indoors and outdoors, ranging from 1 to 1.5 pounds, depending on the conditions. ",GG Strains,,,12.5,26.4,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/094/avatar/original/1553019915-171008_42609_GorillaGlueNum4_1.jpg,https://images.weedmaps.com/strains/000/000/094/hero/original/1581731839-Gorilla-glue_DL.jpg,"['Gorilla Glue', 'Original Glue']","[{'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
Ghost Cookies,ghost-cookies,hybrid,"Ghost Cookies was created by the Oregon-based breeders at Deschutes Growery. A cross between Ghost OG and GSC (formerly Girl Scout Cookies), Ghost Cookies features GSC’s sugary sweet aromas and the THC potency present in both of its parent strains. Ghost Cookies buds are chunkier and larger than average, with orange pistils and forest green and indigo coloring from the strain’s high amount of anthocyanin.

Growers looking to raise Ghost Cookies can seek out clones for indoor or outdoor crops, though much more information is lacking on the strain’s cultivation needs. Ghost Cookies typically flowers in 8-9 weeks indoors and reaches a short, squat bush height.
",,Deschutes Growery,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/083/avatar/original/1564689020-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/083/hero/original/1564689020-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
Ghost OG,ghost-og,hybrid,"Ghost OG is a combination of a female Ghost OG (a confusingly named phenotype of OG Kush) pollinated by Joe’s OG Kush, first bred by the team at Apothecary Genetics. The original Ghost OG is thought to be a true Kush strain from the Kush mountain range, named such because a breeder from the OverGrow.com forums with the username OrgnKid gave a cut of the strain to another breeder named Ghost. The cultivar from Apothecary Genetics was backcrossed with OG Kush strains to create seeds and strengthen its genetics, but the original version is clone only.

Ghost OG plants reach a medium height and flower in either indoor or outdoor gardens. The cultivar needs eight to nine weeks to flower indoors and reaches maturity in early October when grown outdoors in the Northern Hemisphere. It is resistant to most diseases and pests, making it great for beginners.",,Apothecary Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/084/avatar/original/1564001343-171222_33555_GhostOG_1.jpg,https://images.weedmaps.com/strains/000/000/084/hero/original/1582844809-GhostOG.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': 'a289881c-cf93-4f0e-b62b-25b58ed73a93', 'type': 'tag', 'name': 'Lemon'}]"
Ghost Train Haze,ghost-train-haze,hybrid,"Ghost Train Haze is a “flagship variety” from Colorado-based Rare Dankness.  According to the seed bank’s founder, Scott “Moonshine” Reach, the strain is a cross between a Ghost OG female and a Nevil’s Wreck male. 

Reach said the Ghost OG mother was sourced from Weedzilla of the Devils Harvest Krew (DHK,) and was traded openly with other breeders for more than a decade. He said the two strains produced a Sativa-dominant hybrid that’s easy to grow and offers heavy hields of sugary, trichome-rich buds in a 65-80 day flowering period.  

Rare Darkness carries both regular and feminized Ghost Train Haze seeds. It reports the strain has a hazy, sour aroma and results in an intense, energetic high. In fact, Reach said the strain was disqualified from its first competition because the entry batch tested at 27% THC, test results that judges assumed couldn’t be authentic. But since then, it’s won more than 100 awards globally, including 2nd Medical Sativa at High Times’ Cannabis Cup in 2013, and 1st Sativa at High Times’ Cannabis Cup in 2014. 

Reach noted that Ghost Train Haze is exceptional for making extracts, and produces a “wide array of terpenes.” 
",,"Scott Reach, Rare Dankness Genetics, Weedzilla",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/085/avatar/original/1548298508-171207_29747_GhostTrainHaze_1.jpg,https://images.weedmaps.com/strains/000/000/085/hero/original/1585180471-Ghost_Train_Haze_DL.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': 'd927fcde-b8ff-48d3-995f-c16cbdace3c1', 'type': 'tag', 'name': 'Chemical'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': 'a289881c-cf93-4f0e-b62b-25b58ed73a93', 'type': 'tag', 'name': 'Lemon'}]"
Giesel,giesel,hybrid,"Giesel, also known as Superdawg, is a clone-only variety said to have been created by the breeder Chemdog. A mostly indica variety, online sources speculate the strain is a cross of Chemdawg and Mass Super Skunk. Not much else is known about Giesel other than its earthy, diesel aroma and THC potency of up to 21%.","Per online sources, Giesel does best in indoor climates and flowers in approximately 49 days.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
Glacier OG,glacier-og,hybrid,"The breeder RedEyed Genetics created Glacier OG by crossing Snowcap, a clone from the Pacific Northwest, with Double Barrel OG. Glacier OG is reported to have a spicy, sweet, earthy flavor profile and frosty trichome-crusted buds that give it its icy name.

While Glacier OG is reported to produce medium-to-high yields following a nine-week flowering cycle, this clone-only strain is not readily available from RedEyed Genetics or the various seed banks that sell the breeder’s other creations. ",,RedEyed Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/841/avatar/original/1567639164-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/841/hero/original/1567639164-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
Glass Slipper,glass-slipper,hybrid,"Glass Slipper is a fairytale strain created in the Netherlands by breeders at Riot Seeds.

It’s widely believed the team at Riot Seeds backcrossed a Cinderella 99 F1 male from Brothers Grimm Seeds’ original seed pack with a Cinderella 99 phenotype named Pineapple. However, other sources claim Cinderella 99 was paired with breeder Krome’s The White.

Regardless of origin, Glass Slipper earned a name for itself among consumers thanks to its reported pungently fruity bouquet and sweet, berry flavors.

The strain flowers indoors at 9-to-10 weeks, and in late September to early October when planted outside. It grows up to 6 feet, thriving best in a Mediterranean climate. 
Breeders recommend training the plant to grow by pruning and bending the branches early in the flowering cycle. Topping is also recommended to allow light to reach the lower branches.",,Riot Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/087/avatar/original/1560277727-180312_38778_GlassSlipper_1.jpg,https://images.weedmaps.com/strains/000/000/087/hero/original/1560277727-180312_38778_GlassSlipper_1.jpg,[],"[{'id': '77df41f0-f1c7-4a11-8553-260074e5c8e5', 'type': 'tag', 'name': 'Talkative'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
Glookies,glookies,hybrid,"A couple of variations of Glookies exist in the cannabis marketplace. The team at Barney's Farm in Humboldt created their version by crossing GG#4 (Gorilla Glue #4) with a proprietary version of Thin Mints, a phenotype of GSC (Girl Scout Cookies). Lime flavors and nutty floral notes precede a powerful body stone, per online consumer reports. Urbols in Los Angeles produces its own version, crossing GSC with GG to meld the two strains' heavy potency and skunky, sweet flavors.","Urbols' version of Glookies has little growing information available online. Barney's Farm's Glookies produces decently sized yields at full maturity, with plants stretching squat and lateral in typical indica fashion. Glookies thrives in both indoor and outdoor gardens.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': 'd243ee93-f3c7-4a3f-8e97-e1118bc88192', 'type': 'tag', 'name': 'Skunk'}]"
Glueberry OG,glueberry-og,hybrid,"A creation of Dutch Passion, Glueberry OG has won multiple awards in the Netherlands, including 2nd Prize Indica, Home Grown Cup in 2017. Glueberry OG blends a trio of strains – Blueberry, Gorilla Glue, and OG Kush – to culminate in a delightful fruity aroma and matching taste with a spicy twist. Elevated THC levels deliver a strong euphoric effect.",Growers will be happy with the large yield that Glueberry OG produces. This moderately difficult strain is best suited to growers with some experience. Flowering occurs in a mere 8 weeks and is accompanied by dense nugs.,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
GMO Cookies,gmo-cookies,hybrid,"No, the strain GMO Cookies is not a genetically modified organism but a cross between Chemdawg D and a GSC (formerly Girl Scout Cookies) Forum cut. Also know as GMO or Garlic Cookies, GMO Cookies has been attributed to the breeder Mamiko Seeds, but this skunky phenotype has also been said to have been discovered by a breeder named skunkmasterflex.

While Mamiko seems to have called it just GMO, dispensaries were understandably wary of having that “GMO” label on their shelves and went with Garlic Cookies instead. GMO Cookies is said to carry a flavor of garlic, mushroom, and onion that descends from its Chemdawg lineage.

Divine Genetics also has a strain that’s a cross of Chemdawg #4 and GSC that it calls Chem Cookies. Despite the similar genetics, it appears to be a different strain with different phenotypes for both parents,  although it’s worth noting that some people do confuse two strains. GMO Cookies is said to produce olive green buds with bits of purple and orange blanketed by a mantle of trichomes.

Neither seeds or clones of GMO Cookies appear to be available online, but some cultivators possiblymay be able to get a clone from someone. The only grow data available online claims that this cultivar is moderately difficult to grow, but there aren’t many sources offering more information. ",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/935/avatar/original/1569455363-171218_35796_GMO_1.jpg,https://images.weedmaps.com/strains/000/000/935/hero/original/1581016538-GmoCookies.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': 'ae83cca8-173f-4c2e-8739-5781e1f45847', 'type': 'tag', 'name': 'Pungent'}]"
Goat Head,goat-head,hybrid,"Goat Head is the love child of Golden Goat and Headband strain first created by Boulder, Colorado-based The Farm Genetics. The cultivar exudes spiced, fruity aromas with a matching flavor that lasts long after each exhale. The breeders claim Goat Head is a stimulating Sativa that clocks in at up to 23% THC. A long, orange-haired, sativa-dominant hybrid, you can expect an eclectic aroma profile ranging from spicy to fruity undertones for an elevated experience that'll keep you on your toes with 23% THC potency.","Goat Head is moderately difficult for any users interested in growing personal plants. At maturity, the cultivar produces fluffy, orange-haired buds covered with sparkling trichomes.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
God Bud,god-bud,hybrid,"Bred by Canadian seed bank BC Bud Depot, God Bud (also called BC God Bud,) is reportedly the result of crossing a Canadian female named God with a Purple Skunk and a Hawaiian landrace. 

According to the seed bank, God Bud produces a powerfully aromatic flower with full flavor and out-of-body effects. 

The seed bank reports God Bud grows well both indoors and outdoors, producing dense buds coated in trichomes within a 56-63 day flowering period. 

The strain won 1st Place Indica Cup at the 2004 High Times Cannabis Cup. ",,BC Bud Depot,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/088/avatar/original/1553027916-180123_26024_GodBud_1.jpg,https://images.weedmaps.com/strains/000/000/088/hero/original/1553027916-180123_26024_GodBud_1.jpg,['BC God Bud'],"[{'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}, {'id': '532eb8d6-ccfa-4ca8-95f4-4b9386ee9575', 'type': 'tag', 'name': 'Hungry'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
Godfather OG,godfather-og,hybrid,"Known as the Don of all OGs, this cross of XXX OG and Alpha OG is a Southern California medicinal community favorite with potent THC, as high as 28%, according to online sources. It smells like spicy grapes and has a similar, sweeter taste, according to online sources. Other Godfather OG strains may come from Bubba Kush, L.A. Confidential, and Granddaddy Purps or from OG Kush and Granddaddy Purps, but the lineage here is for the XXX OG x Alpha OG version.

Godfather OG took first place for Best Indica at the High Times’ Cannabis Cup L.A. 2013. Given its heritage, it should grow well and flower in about eight to nine weeks indoors or early October in the Northern Hemisphere when cultivated outdoors. According to the breeder, Godfather OG has strong, relaxing, sedative effects.
",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/798/avatar/original/1567199000-180226_38870_GodfatherOG_1.jpg,https://images.weedmaps.com/strains/000/000/798/hero/original/1581016609-GodfatherOG.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
God's Gift,god-s-gift,hybrid,"God’s Gift is a strain of mysterious origins, most commonly thought to be a cross of OG Kush and Granddaddy Purple, also known as Grand Daddy Purp or GDP. Winning first place for best indica at the 2015 Bio Cannabis Cup in Spain, God’s Gift is available in the form of feminized seeds from a variety of online seed banks.

Reported to carry an aroma and flavor of skunky, sweet grapes, God’s Gift is said to bless smokers with heady cerebral effects that gradually taper off into a relaxing buzz. One sample of God’s Gift analyzed by the cannabis testing lab Analytical 360 demonstrated THC levels exceeding 18%. For this particular sample, the three most prominent terpenes included humulene, terpinolene, and beta-caryophyllene. 

The strain is reported to grow short, producing minimal leaves and generous yields of sticky, white trichome-covered buds with shades of purple and blue in a 49-to-63 day flowering cycle. God’s Gift is also relatively easy to grow for either indoor or outdoor growers, and responds well to a warm, dry climate. ",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/640/avatar/original/1581018111-GodsGift.jpg,https://images.weedmaps.com/strains/000/000/640/hero/original/1581018111-GodsGift.png,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}, {'id': '48938613-7e33-48ce-860d-a4edc7168fdf', 'type': 'tag', 'name': 'Woody'}]"
Godzilla Glue,godzilla-glue,hybrid,"Godzilla Glue's creation is attributed to the team at Pua Mana 1st Hawaiian Pakalolo Seed Bank, though many phenotypes and variations exist on the market today. Godzilla Glue became the King of the Monsters by crossbreeding King Kong with GG #4. The flavor is sweet, with a touch of pine and diesel strong.","Godzilla Glue is reportedly a ""super yielder"" and produces over three pounds of bud when properly grown outdoors. The strain reaches maturity in nine-to-ten weeks and — like the famed monster — Godzilla Glue is electric with almost every part having resin.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '77df41f0-f1c7-4a11-8553-260074e5c8e5', 'type': 'tag', 'name': 'Talkative'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]",[]
Goji OG,goji-og,hybrid,"Goji OG is the child cultivar of Nepal OG and Snow Lotus, two proprietary strains bred by the team at Bodhi Seeds. Named for the berry of the same name, Goji OG features a sweet fruity flavor, crimson coloring, and high potency that connoisseurs crave throughout its origin region of Los Angeles. Goji OG’s flavors and reported uplifting, spacey effects contributed to its win of the first place concentrate and third place hash awards at the 2013 Seattle High Times Cannabis Cup.

Goji OG has a shorter flowering time than other sativa-characteristic cultivars, reaching massive heights and yields in about nine weeks. Goji OG is a low-stress cultivar, easy to grow for new growers and seasoned pros alike.",,Bodhi Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/089/avatar/original/1562701362-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/089/hero/original/1585592463-Goji-OG_DL.jpg,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': 'a289881c-cf93-4f0e-b62b-25b58ed73a93', 'type': 'tag', 'name': 'Lemon'}]"
Golden Cobra,golden-cobra,hybrid,"Golden Cobra by Moxie Seeds is a limited release cross of Grape Kush with a Tangie phenotype from DNA Genetics. This cultivar features a tropical fruit bouquet matched with sweet, citrus flavors. Consumers report Golden Cobra invigorates energy and produces sociability.","Golden Cobra grows well both indoors and outdoors, flowering in 55-60 days in the former environment. At full maturity, Golden Cobra produces very high yields of dense, light-green buds with subtle purple coloring.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
Golden Goat,golden-goat,hybrid,"Golden Goat is a Sativa-dominant cross between a male Hawaiian-Romulan and a female Island Sweet Skunk. This strain is reported to have been created in Kansas as a result of an unplanned pollination event between the Hawaiian father and Sweet Skunk mother, and first made available in Colorado in 2009. 

The indoor flowering time for Golden Goat takes about 56-70 days after the 12/12 light cycle switch, while outdoor cultivators can anticipate a harvest by late October. The clone-only cut of Golden Goat should be obtained through a reputable cultivator, as packaged seeds are currently unavailable. ",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/090/avatar/original/1548911347-171207_29747_GoldenGoat_1.jpg,https://images.weedmaps.com/strains/000/000/090/hero/original/1583292705-Golden_Goat.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '4111e944-1514-4698-a9fa-924e55289ac3', 'type': 'tag', 'name': 'Honey'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': 'a289881c-cf93-4f0e-b62b-25b58ed73a93', 'type': 'tag', 'name': 'Lemon'}]"
Golden Lemons,golden-lemons,hybrid,"Golden Lemons is an F1 hybrid of two strains — Kosher Kush and Lemon Skunk -- from Amsterdam’s DNA Genetics.

True to its name -- and in the tradition of both parent strains -- Golden Lemons exhibits a prominent citrusy Kush flavor. The strain offers high, resinous yields with a strong herbal-lemon terpene profile. 

DNA Genetics offers feminized Golden Lemons seeds. The strain grows tall with flowers coated in resin, and it requires a flowering time of 56-63 days. The strain is suitable for both indoor and outdoor growing, and its resin is easily extractable, meaning it’s ideal for making concentrates. For those making clear concentrates, the seed bank recommends harvesting a little early. 
",,DNA Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/091/avatar/original/1548300575-180205_51803_GoldenLemon_1.jpg,https://images.weedmaps.com/strains/000/000/091/hero/original/1548300575-180205_51803_GoldenLemon_1.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]","[{'id': 'a289881c-cf93-4f0e-b62b-25b58ed73a93', 'type': 'tag', 'name': 'Lemon'}, {'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}]"
Golden Nugget,golden-nugget,hybrid,"Golden Nugget (also called Golden Stardawg) from Greenpoint Seeds in Colorado, is a cross between Golden Goat and Stadawg. This sativa-dominant hybrid is known for its high yields and ease of growth.

Golden Nugget’s aroma can develop notes of sour candy and other fruits, with some saying that the flavor and aroma border on “sickeningly sweet.” The plant itself features purple hues and a flowering time of 70 to 80 days.",,Greenpoint Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/608/avatar/original/1564691854-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/608/hero/original/1564691854-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': 'da04d5f5-0601-4ebc-a2ef-cd23a944c537', 'type': 'tag', 'name': 'Ammonia'}]"
Golden Pineapple,golden-pineapple,hybrid,"Golden Pineapple is a combination between Golden Goat, a male Hawaiian-Romulan pollinated with a Skunk mother, and Pineapple Kush (Pineapple x Master Kush), though its original breeder remains a mystery. Golden Pineapple was named for both its parentage and its vibrant pineapple and citrus aromas. Its flavor and smell helped Golden Pineapple clinch Best Sativa at the Oregon Northwest Cannabis Cup in 2017.

The Golden Pineapple strain produces short, bushy plants that grow well indoors or outdoors. When cultivated inside, growers can expect this cultivar to hit full maturation within eight to nine weeks of entering the flowering photoperiod. Outdoor growers in a more temperate climate can harvest the high-yield Golden Pineapple in early October in the Northern Hemisphere, and enjoy the cultivar’s high resistance to disease and mold.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/092/avatar/original/1546640070-v5T4OxKlS8iIMWUfgmdH_171228_33422_GoldenPineapple_SAF_1.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '77df41f0-f1c7-4a11-8553-260074e5c8e5', 'type': 'tag', 'name': 'Talkative'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
Golden S.A.G.E.,golden-s-a-g-e,hybrid,"Golden S.A.G.E. is a sativa-leaning strain bred by The Bank, which combined Golden Goat with S.A.G.E, a cross of Big Sur Holy and Afghani created by T.H. Seeds, to create this stinky and highly potent strain.

Golden Goat met S.A.G.E. (Sativa-Afghani Genetic Equilibrium) and made a stinky, high-THC, large-nuggeted baby, according to breeder The Bank. The strain is said to have excellent resin production and a fruity, sweet flavor profile.

Golden S.A.G.E. grows vigorously and tall, producing large yields of moderately dense, large flowers in a 65-to-75-day flowering cycle. According to The Bank, Golden S.A.G.E. carries the high THC content and flavor of its mother, S.A.G.E., which is said to taste of pine trees, sage, and sandalwood.   
",,The Bank,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/830/avatar/original/1567633361-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/830/hero/original/1567633361-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
