Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
421,Jamaican Lion,sativa,4.32,"Uplifted,Relaxed,Happy,Energetic,Talkative","Jamaican Lion is a high-CBD sativa strain with mildly psychoactive effects that stimulate creativity and focus without the loss of functionality. Its rich genetic background combines Mountain Lion -- a Rock Bud and Lionheart cross -- with a Jamaican sativa known as Yarders. Shadrock, Jamaican Lion’s creator, first brought the strain to California in 2007, where it was distributed to patients by Harborside. Ushered in by a sweet herbal aroma, Jamaican Lion induces mild psychoactivity that carries through despite its low THC content. Sensory perception sharpens as bad moods dull in clear-headed sensations that can be described as simultaneously uplifting and calming. Few strains compare to Jamaican Lion as it eases pain, anxiety, and inflammation without intoxication or mental cloudiness. Its CBD content is highest around week 9 of flowering, but if you’re looking for more of a 1:1 ratio of CBD and THC, Shadrock recommends harvesting at week 8 instead.","Earthy,Lime,Tropical","421,816,910,1318,1279,1007"
422,Jahwaiian,sativa,4.32,"Aroused,Creative,Energetic,Euphoric,Happy","Jahwaiian by Pua Mana 1st Hawaiian Pakalōlō Seed Bank is a tropical mashup of two legendary strains. By combining Lamb’s Bread genetics sourced directly from Nine Mile, St. Anne’s, Jamaica, and the “Sweet Lady of Waiāhole” (AKA Hawai’i ‘78), Pua Mana crafted an uplifting strain that harnesses the tropical vibes and aromas distinct to the Hawaiian and Caribbean coastlines. Jahwaiian’s effects are stimulating, delivering plenty of energy to the body. Also anticipate a manageable headiness that encourages self-reflection. This strain may help curb depression and fatigue while encouraging physical activity.","Sweet,Tropical,Earthy","422,158,520,958,420,146"
423,Jack Skellington,sativa,4.32,"Euphoric,Relaxed,Happy,Creative,Focused","Jack Skellington by TGA Genetics is a 70% sativa cross between Killer Queen and Jack the Ripper. TGA sought out the most resin-heavy phenotypes of each parent for an ideal, crystal-coated offspring. With a fruity citrus and diesel aroma, Jack Skellington promises an intensely psychoactive experience that brings creativity and introspection to a new level. Jack Skellington flowers in 8 weeks indoors and thrives in sea of green (SOG) setups.","Diesel,Pungent,Earthy","423,1748,824,1626,1390,425"
424,Gods Bubba,indica,4.32,"Relaxed,Happy,Sleepy,Tingly,Uplifted","Bred by Jordan of the Islands, God’s Bubba is an indica cross between two hefty parent strains, God Bud and Pre-98 Bubba Kush. Potency, a compact stature, and heavy harvests are what these breeders aimed for, to the delight of commercial growers and consumers with stubbornly high tolerances. Indica lovers will appreciate the tranquilizing qualities God’s Bubba has to offer, especially those treating pain and insomnia.","Earthy,Pungent,Woody","424,531,71,1772,1597,1019"
425,Jack 47,hybrid,4.32,"Happy,Euphoric,Relaxed,Giggly,Energetic","Jack 47 combines two of the most sought-after varieties of cannabis: Jack Herer and AK-47. This super hybrid, bred by Sweet Seeds, is mostly sativa and carries the sweet, captivating aroma of Jack Herer. Growers will appreciate the vigorous growth and large colas this strain produces. While connoisseurs are drawn in by the smooth earthy flavor of sugary lemons, patients enjoy Jack 47's immediate relief from stress and muscle pains.","Earthy,Lemon,Spicy/Herbal","425,1707,1354,824,2122,1366"
426,Tillamook Strawberry,hybrid,4.32,"Happy,Relaxed,Focused,Euphoric,Energetic","Tillamook Strawberry is a mash-up between Alphakronik Genes and Dark Horse Genetics for AKG’s Collaboration Series. Described by the breeder as the “diesel lover’s dream,” Tillamook Strawberry smells like a gas station in a strawberry field. The strain’s foliage is deep green with tight buds and the effects are bright yet soothing, promoting focus and relaxation. Utilize Tillamook Strawberry to improve your mood and counter depression and anxiety.","Strawberry,Sweet,Berry","426,843,652,1105,1287,1975"
427,Kong,hybrid,4.32,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Kong is an indica-dominant strain bred by Holy Smoke Seeds, who created this hybrid by crossing Motavation with a backcrossed White Russian. This powerhouse hybrid takes after its namesake in both strength and appearance, with hairy buds that secrete massive amounts of THC-rich resin. As promised by its heavy trichome coverage, Kong packs a punch and leaves your body anchored in relaxation while your mind floats to happy escapes.","Earthy,Woody,Skunk","427,930,1450,1061,1467,1039"
428,Illuminati Og,indica,4.32,"Relaxed,Sleepy,Focused,Talkative,Euphoric","3C Illuminati OG is a direct cut from Josh D’s 1996 Club 33 OG phenome and makes up the genetic backbone of many west coast cannabis varieties. In spite of its ubiquity, its origins remain a debatable mystery (as its name suggests). The colas are a blend of beautiful green tones and its scent is fresh and piney. Illuminati’s denseness hits the tongue with a blast of pine and a touch of tar, just to be followed by a subtle floral sweetness. Its effects set in very quickly, starting with a relaxation that begins at the crown of the head and melts over the entire body.","Earthy,Sweet,Pungent","428,2115,1538,1667,151,290"
429,Dream Beaver,sativa,4.32,"Happy,Uplifted,Energetic,Talkative,Creative","Dream Beaver by Bodhi Seeds is a sativa-dominant strain that crosses Dirty Hippy (an Afghooey-Blockhead hybrid) with Appalachia. With subdued flavors of fresh cedar and earthy spice, Dream Beaver deals a mellow buzz that lets you stay active, productive, and social. This sativa is a great choice for unleashing laughing fits and creative sparks on those days when your mood and motivation could use a lift.","Pineapple,Woody,Spicy/Herbal","429,1666,307,1118,1912,1528"
430,Honey Boo Boo,indica,4.32,"Euphoric,Happy,Aroused,Creative,Giggly","An 80% indica by DNA Genetics, Honey Boo Boo is a limited edition strain that crosses a Bubba Kush mother with a Captain Krypt OG male. With a sweet flavor that in part lends this strain her name, Honey Boo Boo deals a heavy-handed blast of euphoria that melts throughout the body. Her dense buds finish flowering after 8 to 9 weeks, and her maturation is often marked by darkened purple leaf tips.","Sweet,Pungent,Butter","430,394,977,839,1553,1350"
431,Golden Lemon,hybrid,4.32,"Uplifted,Relaxed,Euphoric,Tingly,Happy","Golden Lemon by DNA Genetics is citrusy strain with a potent punch. This 60/40 indica-dominant hybrid is a cross between Kosher Kush and Lemon Skunk, and emits a distinctly pungent herbal, citrus aroma that speaks to its parentage. The effects immediately hit the consumer between the eyes, leaving bright, sizzling euphoria in the mind. Golden Lemon melts over the body and shows its sedating indica-dominant side with heavy consumption. Testing in at an average 23% THC, Golden Lemon is suited for seasoned cannabis connoisseurs.","Lemon,Citrus,Sweet","431,1080,1617,783,2126,1009"
432,Crown Og,indica,4.32,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Crown OG is an indica strain that stays true to its OG roots with a sweet pine aroma and potent euphoric effects. While Crown OG may take a toll on your memory and cognitive sharpness, its crushing THC content is perfect for patients suffering severe pain or insomnia. This strain took 1st place in the 2015 High Times Denver Cannabis Cup as “Best Indica Concentrate,” earning the victorious stripes its name sets forth.","Diesel,Earthy,Pepper","432,875,345,718,1440,713"
433,Crown Royale,indica,4.32,"Relaxed,Happy,Euphoric,Sleepy,Aroused","Crown Royale is a sweet indica-dominant hybrid that blends the best of parent strains Blueberry and Purple Kush together. This flower is a feast for the eyes with bright purple hues and deep green foliage. Just as delightful on the palate, Crown Royale exhibits notes of the forest floor with piney aromas and a telltale berry tartness. These scents show up in the flavor as a sweeter, fruiter pine. Enjoy this strain for pervasive physical effects that dull pain, nausea, and stress.","Sweet,Flowery,Berry","433,1977,550,121,315,1374"
434,Alien Rock Candy,hybrid,4.32,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Alien Rock Candy by Alien Genetics is an indica-dominant hybrid with an aroma as sweet as the name suggests. This Sour Dubble and Tahoe Alien cross captures a fruity, citrus aroma that carries through until the exhale. Full relaxation of the mind and body make this strain ideal for the end of an active or stressful day, with a heaviness that segueways nicely into sleep. The effects may take a few minutes to peak, but Alien Rock Candy packs a powerful euphoric punch once it sets in. A good choice for both novice and expert growers alike, Alien Rock Candy finishes around 8 weeks into its flowering cycle.","Sweet,Citrus,Earthy","434,976,776,1902,967,266"
435,Hustler Kush,hybrid,4.32,"Happy,Energetic,Euphoric,Uplifted,Talkative","Hustler Kush is an indica-dominant hybrid bred by Greenworks out of Seattle, WA. These potent buds offer a sweet, earthy, piney aroma with fast-acting and long-lasting effects optimal for pain relief.","Earthy,Woody,Sweet","435,1898,463,468,1305,211"
436,Hurkle,hybrid,4.32,"Relaxed,Happy,Hungry,Focused,Sleepy","Bred by TGA Genetics, Hurkle is a hybrid cross between the high-CBD sativa Harlequin and a Querkle indica. Most Hurkle phenotypes will hover around a 1:1 ratio of THC and CBD, but some variation should be expected. Flavors of grape, coffee, and chocolate overwhelm the palate in a flavorful introduction to Hurkle’s calming effects. CBD and THC team up to crush pain, stress, and anxiety, leaving you feeling relaxed in both mind and body.","Sweet,Earthy,Berry","436,1207,628,873,1627,1655"
437,Gorilla Biscuit,indica,4.32,"Relaxed,Euphoric,Creative,Sleepy,Happy","Gorilla Biscuit by Seeds of Compassion is an indica-dominant cut bred from crossing the Turpentine pheno of Sensi Star and Stardawg IX. This rare and rather old school blend is named for Methaqualone, also known as quaaludes, a medication which has a sedative and sensual effect on the body. Its effects behave in a similarly sedative manner, leaving the limbs heavy and relaxed. Gorilla Biscuit has a strong terpene profile, smelling intensely of Pine Sol and espresso beans.","Coffee,Pine,Cheese","437,93,369,834,191,1028"
438,White Fire 43,indica,4.32,"Relaxed,Sleepy,Happy,Euphoric,Hungry","White Fire 43 is a select phenotype of White Fire OG grown by TLC Collective in Los Angeles, CA. Number 43 was the standout phenotype in a lot of over 500 White Fire OG seeds, originally bred by OG Raskal. White Fire 43 is known for its exceptional cannabinoid production, with claims of test results regularly nearing 30%. The strong medicinal and pain-fighting effects are ushered in with a pungent earthy aroma that is amplified by flavors of lemons and sour citrus. White Fire 43 is an indica-dominant hybrid that is great before bedtime, helping you relax, decompress, and find sleep.","Pungent,Sweet,Earthy","438,1021,1164,1718,1466,565"
439,White Gold,hybrid,4.32,"Relaxed,Happy,Euphoric,Talkative,Uplifted","White Gold from Sensi Seeds is an indica-dominant hybrid that mixes White Widow with Himalayan Gold. Its dense colas are caked in sticky resin and produce a pungent Haze aroma. White Gold tastes sweet and earthy with a hint of fruitiness, supplying euphoric effects that won’t interrupt focus.","Earthy,Pungent,Tropical","439,1413,1935,992,1723,1795"
440,Wedding Cake,hybrid,4.32,"Relaxed,Happy,Euphoric,Uplifted,Focused","Wedding Cake, also known as Pink Cookies, is the familial genetic cross of Girl Scout Cookies and Cherry Pie. This delectable treat is rich with tangy sweet earth and pepper, taking notes and dimension from its OG and Durban Poison parentage. Enjoy this double dose of dense dankness with care, as certain farms have noted THC content upwards of 25% or greater.","Sweet,Vanilla,Earthy","440,896,803,705,730,1338"
441,Khalifa Kush,hybrid,4.32,"Happy,Relaxed,Uplifted,Euphoric,Creative","Khalifa Kush, or Wiz Khalifa OG, is a hybrid that was bred specifically for the rap artist Wiz Khalifa, who claims it descended from an OG strain. The ‘real’ Khalifa Kush is supposedly unavailable to the public, but those who have acquired strains under this name say that the effects and aromas are similar to that of OG Kush: sour lemon and pine, with an active cerebral buzz ideal for morning and daytime use.","Earthy,Pine,Lemon","441,1253,1619,1538,692,568"
442,98 White Widow,hybrid,4.32,"Relaxed,Aroused,Creative,Happy,Energetic","The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.","Flowery,Violet,Diesel","442,1935,1413,1566,520,629"
443,Kandahar,indica,4.32,"Relaxed,Sleepy,Euphoric,Uplifted,Giggly","Kandahar, named after the homeland of its ancestor, is a 90% indica strain bred by the Ministry of Cannabis. Its Afghani parent, grown near the city of Kandahar, was crossed with an unknown Afghan Skunk hybrid to help lighten some of the indica intensity. The result is a powerful but functional strain that goes best with relaxing activities at home. Its aroma is a complex blend of earthy wood with nutty undertones that are only fully realized in Kandahar’s taste. Kandahar exhibits the typical indica stature: short, bushy plants with thick layers of crystal trichomes. Indoor gardens finish flowering between 8 and 9 weeks, while outdoor harvest falls at the beginning of October.","Apricot,Earthy,Spicy/Herbal","443,1360,1539,1035,309,715"
444,Easy Bud,hybrid,4.32,"Euphoric,Relaxed,Uplifted,Creative,Happy","Easy Bud by Royal Queen Seeds is an autoflowering Ruderalis variety that is designed for horticultural newbies looking for a resilient plant with mid-range indica effects. This plant’s genetics remain unknown, but have been compared to White Dwarf in stature and potency. The squat plant emits a skunky aroma and has a sweet, earthy taste on the exhale. With an average yield of 45g/plant, this entry-level bud is an excellent choice for gardeners new to cannabis.","Lemon,Skunk,Spicy/Herbal","444,1125,1492,558,44,1861"
445,Alpha Express,sativa,4.32,"Energetic,Focused,Talkative,Happy,Relaxed","Alpha Express is an introspective sativa strain that descends from Alpha Blue and Ghost Train Haze. With a complex flavor that spans sour juniper and musky cedar notes, Alpha Express delivers spacey cerebral effects perfect for meditative or creative activities. Its buds bloom with trichome-covered calyxes that carry a red tint as the flowers mature.","Diesel,Earthy,Spicy/Herbal","445,599,413,225,762,979"
446,White Tahoe Cookies,indica,4.32,"Aroused,Sleepy,Uplifted,Creative,Euphoric","White Tahoe Cookies is an indica-dominant strain created by Kush4Breakfast and distributed by Archive Seed Bank. This strain is a blend of The White, Tahoe OG, and an unknown Girl Scout Cookies cut, and exemplifies attributes of each in trichome coverage, effect, and aroma. The GSC bouquet has been enhanced through this cross, offering up sweeter, hashier notes with distant OG undertones. Its sedative effects pile on with each hit, weighing the consumer to their seat while alleviating minor pain and anxiety.","Spicy/Herbal,Citrus,Tree,Fruit","446,2148,1139,90,340,96"
447,Kaia Kush,hybrid,4.32,"Relaxed,Happy,Euphoric,Tingly,Uplifted","Created by Apothecary Genetics, Kaia Kush is a 60% sativa cross between Super Silver Haze and OG Kush. This earthy, spicy hybrid is perfect for daytime consumption, with creative and relaxing effects that won’t impede your productivity. Kaia Kush’s full onset can be slow, but be patient while dosing: once effects kick in, they tend to stick around for a long time. Pain, appetite loss, depression, and fatigue are flushed away without that feeling of being overly medicated. This first place champion of the 2007 Amsterdam High Times Cannabis Cup is suitable for outdoor grows as well as indoor gardens, with a flowering time of 9 to 10 weeks.","Lemon,Sweet,Pungent","447,1178,1715,1364,689,1312"
448,Walter White,hybrid,4.32,"Happy,Relaxed,Energetic,Uplifted,Euphoric","Walter White by Mephisto Genetics is a hybrid cross created out of fascination. After seeing a glittering cut of The White, Mephisto Genetics set out to build something special off the brilliant trichome production of that particular plant. By breeding The White with a mysterious autoflowering sativa, Mephisto Genetic created Walter White, one of the most potent strains on their roster. The aroma and taste are citrusy and creamy on the exhale.","Earthy,Pungent,Lemon","448,1769,542,1413,449,1806"
449,White Slipper,hybrid,4.32,"Uplifted,Happy,Talkative,Relaxed,Creative","White Slipper is a sativa-dominant hybrid that crosses The White and Glass Slipper, resulting in a relaxing strain perfect for shedding stress. Flavors of blueberry and spicy pepper take over on the inhale, and soon to follow is White Slipper’s heavenly euphoria. Its buds grow with shining resin-tipped trichomes that glow with a white luminescence, but let these potent crystals be a warning to novices: White Slipper’s THC content often exceeds 25 percent.","Flowery,Spicy/Herbal,Sweet","449,1585,331,1413,448,239"
450,Treasure Island,hybrid,4.32,"Focused,Relaxed,Uplifted,Energetic,Happy","Treasure Island is a CBD-rich strain created by Sin City Seeds. It has been known to produce 15:1 and 5:1 CBD/THC ratio phenotypes, offering consumers a mixed chemistry for a variety of applications. Emitting a delicate floral aroma, Treasure Island’s wellness oriented effects can help settle nausea, diminish inflammation, and abate physical discomfort. Add Treasure Island to your favorite THC strain for an added note of complexity.","Pepper,Spicy/Herbal,Flowery","450,1012,876,1229,218,223"
451,Trash,hybrid,4.32,"Relaxed,Happy,Uplifted,Euphoric,Focused","Trash is an indica-dominant hybrid that is anything but garbage. This strain crosses Purple Trainwreck against Afghani Hash Plant, blending the mental alertness of Trainwreck with the resin production and deep, earthy aroma native to Afghani genetics. Trash is an ideal smoke for long bouts of video games or other stationary activities. These effects also lend themselves to patients suffering from chronic pain and nausea.","Pungent,Skunk,Diesel","451,790,1802,1147,486,1029"
452,Gg 4,hybrid,4.32,"Relaxed,Happy,Euphoric,Uplifted,Hungry","GG #4, formerly known as Gorilla Glue #4, developed by GG Strains, is a potent hybrid strain that delivers heavy-handed euphoria and relaxation, leaving you feeling “glued” to the couch. Its chunky, resin-covered buds fill the room with pungent earthy and sour aromas inherited from its parent strains, Chem’s Sister, Sour Dubb, and Chocolate Diesel. Taking first place in both the Michigan and Los Angeles 2014 Cannabis Cups as well as the High Times Jamaican World Cup, this multiple award-winning hybrid's supremacy is no longer a secret, and consumers will search far and wide to get their hands sticky with GG #4.","Earthy,Pungent,Pine","452,980,982,354,14,1612"
453,White Sangria,hybrid,4.32,"Relaxed,Euphoric,Happy,Uplifted,Hungry","White Sangria is the functional indica-dominant hybrid cross of Tahoe Hydro OG and Gelato 45. This strain’s buds are bright green with facets of purple throughout and emanate an aroma of pine, citrus, and sweetness. The buzz is happy and uplifting while leaving the body cozy and collected. Its effects are perfect for patients seeking relief from depression, anxiety, and minor physical discomfort. However, with continued use, this strain can take on a semi-sedative quality and lead to more pervasive relaxation.","Sweet,Lemon,Citrus","453,210,2148,258,2107,232"
454,Jimi Hendrix,hybrid,4.32,"Uplifted,Hungry,Creative,Euphoric,Happy","There are many genetic combinations that fall under the name Jimi Hendrix, but this southern Oregon hybrid descends from Jack Herer, Headband, and Black Cherry Soda. Led by its sativa genetics, Jimi Hendrix delivers a cerebrally focused jolt of euphoric energy that helps feed creativity and focus in low doses. In a show of its diverse terpene profile, Jimi Hendrix has a complex aroma that spans flavors from earthy pine to sweet lemon and citrus.","Citrus,Sweet,Earthy","454,788,1425,1377,2014,824"
455,White Nightmare,sativa,4.32,"Uplifted,Euphoric,Happy,Focused,Sleepy","Blue Dream’s soaring sativa effects and fruity flavors collide with White Moonshine’s resinous coat of milky trichomes to produce White Nightmare. The sativa-dominant hybrid brings a forceful, sweet aroma of berries and Haze. The flavor stays true to its Blue Dream genetics but with an earthy, hash-like aftertaste. White Nightmare generates a stimulating stream of euphoria and bliss that elevates the mood and brings with it a comfortable, relaxing body high.","Earthy,Sweet,Berry","455,478,1133,542,1287,1406"
456,White Gorilla,hybrid,4.32,"Relaxed,Happy,Euphoric,Uplifted,Hungry","White Gorilla combines the resinous production of Gorilla Glue #4 with the aromatic bouquet and stress relief of White Fire Alien OG. The outstanding pair sits nearly on the hybrid line, making a 55/45 indica-dominant cross that soothes as it uplifts. This generous crop tends to finish flowering in about 8 to 9 weeks.","Tar,Sweet,Pungent","456,354,1612,369,944,93"
457,Gelato,hybrid,4.32,"Relaxed,Happy,Euphoric,Uplifted,Creative","Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.","Sweet,Pungent,Flowery","457,614,2,208,1545,705"
458,Dinachem,hybrid,4.32,"Talkative,Relaxed,Happy,Energetic,Giggly","Dinachem by Dinafem Seeds is an especially potent cross of Guava Chem and the Original Chemdawg ‘91 from Chemdog’s own genetics. This strain enhances and preserves the potency and quality of Chemdog’s original strain while infusing fruit and floral nuances into the oily, woody aroma inherent to the strain. With natural pest and moisture resistance, Dinachem offers novice growers a hearty piece of cannabis history with a large yield and an average THC content of 18-23%. Dinachem won 1st prize for “Best Indica” at Cannazores Cup in 2016 and 2nd prize for “Best Indica” at IC420 Growers Cup in 2015.","Tropical,Pungent,Earthy","458,1034,115,948,279,394"
459,Valley Girl,hybrid,4.32,"Happy,Relaxed,Euphoric,Energetic,Uplifted","From Archive Seed Bank comes Valley Girl, a balanced hybrid strain that descends from SFV OG and Face Off OG. Resin-packed buds mark this strain’s elevated THC potential, and consumers with a high tolerance may look to Valley Girl for new euphoric heights.","Pine,Flowery,Earthy","459,907,197,1926,2039,1010"
460,Seattle Cough,sativa,4.32,"Happy,Uplifted,Energetic,Relaxed,Creative","Seattle Cough is a potent, sativa-dominant hybrid grown by Dutch Brothers in Washington. Its legend takes root from a clone of Dutch Cough, a sativa-led cross of Northern Lights #5 and Haze #2. In 1991, a small network of American growers, with ties to the original breeders, obtained a Dutch Cough clone from the prized mother plant in Amsterdam. As the plant migrated to North America the growers kept the Cough surname, interchanging the region or city it represented. Starting with Colorado Cough, the genetics spread northwest to include Seattle Cough as well as Canadian Cough.Seattle Cough (no relation to Strawberry Cough) carries a pungent mix of pine and citrus flavors. The aroma of fresh grapefruit serves as a precursor to the uplifting sativa effects, sparking creativity and dreamy euphoria. Medical patients appreciate Seattle Cough’s ability to curb stress and depression while fighting fatigue and nausea.","Pine,Citrus,Grapefruit","460,987,1477,652,1141,2151"
461,Peppermint Cookies,hybrid,4.32,"Relaxed,Euphoric,Uplifted,Focused,Creative",Peppermint Cookies is a select phenotype of Girl Scout Cookies that is grown by Goldleaf Gardens in Washington. The minty flavors and dark purple-green hues helped Peppermint Cookies take Best Hybrid at the 2015 DOPE Cup in Seattle.,"Sweet,Mint,Pine","461,274,525,763,705,1284"
462,Cali Jack,hybrid,4.32,"Creative,Happy,Talkative,Uplifted,Euphoric","Cali Jack by Medicanna Seeds is a potent union of polar opposites. Jack Herer, the sativa-dominant king of clear-minded motivation, comes together with Pre-98 Bubba Kush, a classic West Coast indica dynamo with a heavy body and laidback demeanor, to form a strain with powerful and unique properties. Exhibiting stimulating cerebral effects coupled with a body-heavy indica punch, Cali Jack can help relieve migraines, nausea, anxiety, and fibromyalgia symptoms.","Diesel,Sweet,Skunk","462,1366,1354,824,34,1707"
463,Star Master Kush,indica,4.32,"Relaxed,Uplifted,Focused,Happy,Sleepy","Star Master Kush is an indica-dominant hybrid strain from the gardens of Zion Cannabis in Portland, Oregon. A complex tangle of award-winning genetics, Star Master Kush descends from Sensi Star, Medicine Man, Master Kush, and Platinum Kush. This fruity-scented indica packs a punch, with fast-acting and long-lasting effects that may overwhelm the novice consumer. Hypnotic euphoria invites sleepiness over time, making this strain a preferred choice for evening use.","Skunk,Pine,Earthy","463,1778,1990,1556,646,133"
464,Bediol,sativa,4.32,"Relaxed,Talkative,Happy,Focused,Uplifted","Bediol by Canadian LP Bedrocan is a sativa-dominant strain with a balanced cannabinoid profile of 6.5% THC and 8% CBD. This almost even split caters to a variety of patient needs, including relief of pain, inflammation, anxiety, and nausea. Due to its heightened levels of CBD, Bediol provides a subdued high that is less euphoric and more relaxing. Still, those sensitive to THC should mind their dose.","Mango,Citrus,Lemon","464,628,873,1279,1625,917"
465,Buddhas Hand,hybrid,4.32,"Focused,Euphoric,Energetic,Aroused,Uplifted","Buddha’s Hand is a sativa-dominant strain that was bred by combining genetics from Lemon Thai and Snow Lotus. Pungent aromas of citrus and wildflowers burst from the dense, trichome-caked buds. Easing stress without the cost of energy, Buddha’s Hand is your perfect daytime companion when you’re in need of a mood boost or focus.","Citrus,Lemon,Pungent","465,584,765,1150,1913,1652"
466,Outer Space,sativa,4.32,"Uplifted,Creative,Euphoric,Energetic,Happy",Outer Space is a sativa-dominant strain that is a cross of Island Sweet Skunk and Trinity and is known for cerebral and creative effects. It has a citrusy odor that is strong and produces a flavorful smoke. Great as a daytime medicine.,"Sweet,Citrus,Berry","466,616,1640,2109,86,1394"
467,Star Tonic,hybrid,4.32,"Relaxed,Focused,Uplifted,Happy,Euphoric",Star Tonic is a high-CBD strain bred from Death Star and Cannatonic parents. This hybrid is appreciated by medical patients for its relaxing effects that calm pain and stress without losing focus.,"Citrus,Sweet,Lemon","467,569,1381,748,875,747"
468,Blue Venom,hybrid,4.32,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Blue Venom, an intoxicating indica-dominant hybrid by G13 Labs, is a cross between the sweet-tasting Blueberry and potent White Widow. With a sweet, blueberry aroma inherited from its parent strain, Blue Venom’s frosty, dense buds promise a fast-acting and long-lasting experience. Its full-body relaxation eventually progresses into a deep sedation, putting to rest any pain, stress, and sleeplessness.","Pine,Blueberry,Berry","468,1891,586,435,525,1251"
469,One To One,hybrid,4.32,"Focused,Hungry,Relaxed,Creative,Energetic","Named for its equal balance of THC and CBD, One to One by CBD Seeds is a stabilized hybrid bred from Amnesia Haze and a high-CBD landrace strain. Its nuanced citrus notes come out strong from the first opening of the jar until the final exhale. With effects that embrace both the mind and body, One to One delivers blissful relaxation that encourages a positive mood. One to One finishes its flowering cycle after 8 to 9 weeks, or in September for outdoor gardens.","Earthy,Woody,Pepper","469,873,1229,1627,1971,628"
470,Og Los Angeles Kush,indica,4.32,"Sleepy,Relaxed,Hungry,Euphoric,Focused",The self-titled Original Los Angeles Kush by Los Angeles Kush is an award winning indica with a THC percentage pushing 27%.The strain’s dense lime green nugs are sticky with resin and emit a deep aroma of pine and fuel. OG LAK brings amplified indica effects that sedate and weigh on the body. This restful mental and physical state makes OG LAK an excellent night cap or good medicine for consumers suffering from insomnia and chronic pain. Utilize the Original Los Angeles Kush in the evening to get the best results from this potent indica strain.,"Earthy,Citrus","470,141,2105,805,219,383"
471,Blue Power,indica,4.32,"Relaxed,Tingly,Happy,Uplifted,Euphoric","The indica-dominant Blue Power is one of Sin City Seeds’ signature strains, bred from Sour Double, Master Kush, The White, and Blue Moonshine genetics. Cherished for its fragrant buds, Blue Power offers a sweet fusion of lemon and berry flavors with an earthy finish. It should be noted that another genetic variation released by Vision Seeds crosses Blueberry, White Widow, and Skunk #1. This rendition is described as a happy and uplifting indica that helps focus the mind while fighting stress.","Berry,Earthy,Sweet","471,1327,863,1799,580,1891"
472,Bango,hybrid,4.32,"Uplifted,Creative,Energetic,Euphoric,Focused","Bango is a hybrid strain with a rich terpene profile and tropical flavors worth sharing. This hybrid is a combination of White Fire Alien OG and Mango Kush, exhibiting subtle hints of each on the nose and palate. With sweet, fruity flavors of mango, banana, and pine, and an aroma with sweet floral notes and citrus peel, Bango offers an enchanting bouquet that will linger in the air. Bango’s effects are equal parts cerebral and stimulating, and is certain to get you talking. This strain is preferred for mood elevation, appetite stimulation, and nullifying depression.","Lime,Earthy,Pungent","472,2129,579,42,1164,572"
473,Blue Heron,hybrid,4.32,"Relaxed,Sleepy,Talkative,Happy,Uplifted","Blue Heron is an indica-dominant hybrid bred by Dynasty Seeds that brings euphoric flight to both mind and body. Parented by Blue Magoo and Huckleberry, Blue Heron takes after its Blue Magoo mother in its structure and blueberry, rose, and citrus aroma. Between 8 and 9 weeks of flowering, Blue Heron buds finish with dark, deep hues of blue and green.","Woody,Spicy/Herbal,Pine","473,952,511,2134,48,478"
474,North American,indica,4.32,"Relaxed,Focused,Sleepy,Uplifted,Giggly","North American refers to any strain that grows natively in this region. These indigenous vareities (also called landraces) can exhibit indica or sativa characteristics depending on the climate and latitude at which it grows. Sativas tend to grow in warmer regions closer to the equator, while the hardier indica varieties are more common beyond 30 degrees latitude.","Earthy,Woody,Spicy/Herbal","474,249,1414,1805,1206,127"
475,Banana Peel,hybrid,4.32,"Relaxed,Euphoric,Uplifted,Happy,Sleepy","Banana Peel is a hybrid cannabis strain bred by Illuminati Seeds that descends from Banana OG (Laffy Taffy cut) and Pestilence, an Abusive OG and West Coast Dawg cross. Together, these parent strains bring both flavor and potency to the mix. With sweet flavors of banana taffy, Banana Peel delivers a crushing wave of euphoria that will have you hitting the couch like bricks.","Spicy/Herbal,Tropical,Earthy","475,1277,177,418,844,319"
